City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Swan River,CA,52.1058,-101.2676,76.89,53,53,9.22,broken clouds
287,Iquique,CL,-20.2208,-70.1431,64.44,65,70,2.64,broken clouds
288,San Esteban,HN,15.2,-85.75,90.5,55,84,6.11,broken clouds
289,Batsfjord,NO,70.6345,29.7185,56.98,100,100,8.05,overcast clouds
290,Marienburg,PL,54.0359,19.0266,57.87,80,76,8.03,broken clouds
291,Carnarvon,AU,-24.8667,113.6333,66.16,83,33,11.7,scattered clouds
292,Ulaangom,MN,49.9811,92.0667,49.33,68,14,4.38,few clouds
293,Taoudenni,ML,22.6783,-3.9836,102.45,8,24,17.02,few clouds
294,Hami,CN,42.8,93.45,75.76,19,4,15.88,clear sky
295,Villazon,BO,-22.0866,-65.5942,46.76,16,33,28.95,scattered clouds
296,Dukat,RU,62.55,155.55,66.22,49,88,8.52,overcast clouds
297,Uvat,RU,59.1433,68.8953,60.21,97,10,4.63,clear sky
298,Broken Hill,AU,-31.95,141.4333,40.48,77,0,5.53,clear sky
299,Krasnyy Kommunar,RU,51.9644,55.3668,77.11,53,0,8.95,clear sky
300,Mehamn,NO,71.0357,27.8492,53.55,100,75,5.75,light rain
301,Coquimbo,CL,-29.9533,-71.3436,51.53,100,100,13.8,overcast clouds
302,Haines Junction,CA,60.7522,-137.5108,53.55,66,98,5.75,overcast clouds
303,Karabash,RU,55.4808,60.2157,64.13,92,100,0.58,overcast clouds
304,Sabang,ID,5.8933,95.3214,82.54,75,74,16.31,broken clouds
305,Labuhan,ID,-6.8844,112.2051,76.35,91,67,7.81,broken clouds
306,Codrington,AU,-38.2667,141.9667,43.07,98,57,10.02,broken clouds
307,Brownsville,US,25.9018,-97.4975,94.08,55,40,17.27,scattered clouds
308,Saint Augustine,US,29.8947,-81.3145,90.09,69,100,5.37,overcast clouds
309,Sao Pedro Do Sul,BR,-29.6206,-54.1789,57.85,98,100,5.46,overcast clouds
310,Moose Factory,CA,51.2585,-80.6094,80.6,38,40,3.44,scattered clouds
311,Trinidad,BO,-14.8333,-64.9,87.78,58,75,13.8,broken clouds
312,Makakilo City,US,21.3469,-158.0858,82.72,71,75,13.8,broken clouds
313,Ostersund,SE,63.1792,14.6357,48.65,81,100,25.32,light rain
314,Srandakan,ID,-7.9386,110.2506,75.33,92,42,7.2,scattered clouds
315,Luanda,AO,-8.8368,13.2343,69.8,88,20,5.75,few clouds
316,Lavrentiya,RU,65.5833,-171.0,50.4,69,100,10.38,overcast clouds
317,Maldonado,UY,-34.6667,-54.9167,59.23,96,67,6.89,broken clouds
318,Florida,US,28.7505,-82.5001,91.08,82,0,4.61,clear sky
319,Bluff,NZ,-46.6,168.3333,38.8,80,100,16.13,light rain
320,Prachuap Khiri Khan,TH,12.2167,99.75,73.38,88,100,2.75,overcast clouds
321,Bambous Virieux,MU,-20.3428,57.7575,70.21,94,75,9.22,light rain
322,Yanam,IN,16.7333,82.2167,78.85,76,99,8.25,overcast clouds
323,Mercedes,AR,-34.6515,-59.4307,55.78,76,94,8.84,overcast clouds
324,Bereda,ES,43.2686,-7.5406,73.42,100,100,1.32,moderate rain
325,Lusambo,CD,-4.9667,23.45,75.61,47,68,1.39,broken clouds
326,Okhotsk,RU,59.3833,143.3,63.19,86,90,2.8,overcast clouds
327,Roald,NO,62.5833,6.1333,53.76,81,40,6.91,scattered clouds
328,Plouzane,FR,48.3833,-4.6167,60.85,85,0,8.05,clear sky
329,Abu Dhabi,AE,24.4667,54.3667,93.31,68,0,2.3,clear sky
330,Sylva,RU,58.0348,56.7635,65.57,97,99,3.83,overcast clouds
331,Ahipara,NZ,-35.1667,173.1667,56.59,79,100,7.74,overcast clouds
332,Lorengau,PG,-2.0226,147.2712,81.55,77,100,4.41,overcast clouds
333,Grand Bank,CA,47.0999,-55.765,66.2,72,100,6.91,overcast clouds
334,Hualmay,PE,-11.0964,-77.6139,63.5,76,46,14.47,scattered clouds
335,Lima,PE,-12.0432,-77.0282,61.05,72,75,14.97,broken clouds
336,Alice Springs,AU,-23.7,133.8833,26.15,80,0,0.0,clear sky
337,Mandera,KE,3.9366,41.867,79.52,65,99,20.67,overcast clouds
338,Vostok,RU,46.4856,135.8833,62.29,81,97,7.11,overcast clouds
339,Zhireken,RU,52.8249,117.3076,58.44,99,100,3.18,light rain
340,Bobon,PH,12.5246,124.5636,77.81,88,97,3.74,overcast clouds
341,Swan Hill,AU,-35.3378,143.5544,39.43,89,5,2.17,clear sky
342,Bom Jesus,BR,-9.0744,-44.3586,83.91,33,26,7.92,scattered clouds
343,Calvinia,ZA,-31.4707,19.776,48.97,78,0,4.27,clear sky
