City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
330,Sylva,RU,65.57,overcast clouds,58.0348,56.7635,"Baza Otdykha Mup ""Permgorelektrotrans"""
331,Ahipara,NZ,56.59,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
332,Lorengau,PG,81.55,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
333,Grand Bank,CA,66.2,overcast clouds,47.0999,-55.765,Hotel Fortune
334,Hualmay,PE,63.5,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
335,Lima,PE,61.05,broken clouds,-12.0432,-77.0282,Hotel Kamana
336,Alice Springs,AU,26.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
337,Mandera,KE,79.52,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
339,Zhireken,RU,58.44,light rain,52.8249,117.3076,Gostinitsa
340,Bobon,PH,77.81,overcast clouds,12.5246,124.5636,PATILAN RESIDENCE
341,Swan Hill,AU,39.43,clear sky,-35.3378,143.5544,Lazy River Motor Inn
342,Bom Jesus,BR,83.91,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
343,Calvinia,ZA,48.97,clear sky,-31.4707,19.776,Die Lemoenhuis
344,Jaciara,BR,78.94,overcast clouds,-15.9653,-54.9683,Taba Hotel
346,Namatanai,PG,80.76,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
347,Domoni,KM,74.91,clear sky,-12.2569,44.5319,Al Djadid
348,Grand Gaube,MU,70.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
349,Severodvinsk,RU,62.71,broken clouds,64.5635,39.8302,Park Hotel
350,Hofn,IS,47.97,broken clouds,64.2539,-15.2082,Hótel Höfn
351,San Carlos De Bariloche,AR,33.55,broken clouds,-41.1456,-71.3082,Hotel Patagonia
352,Kieta,PG,81.37,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
